자치구,행정동,성별,연령대,총인구수,1인가구수,데이터 사용량,평일 총 이동 횟수 미추정 인구수,평일 총 이동 횟수,휴일 이동 미추정 인구수,휴일 총 이동 횟수 평균,평일 총 이동 거리 미추정 인구수,평일 총 이동 거리 합계,휴일 총 이동 거리 미추정 인구수,휴일 총 이동 거리 합계,지하철 이용 미추정 인구수,지하철이동일수 합계,게임 서비스 사용 미추정 인구수,게임 서비스 사용일수,금융 서비스 사용 미추정 인구수,금융 서비스 사용일수,쇼핑 서비스 사용 미추정 인구수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용 미추정 인구수,동영상/방송 서비스 사용일수,유튜브 사용 미추정 인구수,유튜브 사용일수,넷플릭스 사용 미추정 인구수,넷플릭스 사용일수,배달 서비스 사용 미추정 인구수,배달 서비스 사용일수,배달_브랜드 서비스 사용 미추정 인구수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용 미추정 인구수,배달_식재료 서비스 사용일수
강남구,개포1동,1,20,1163,192,26.7,22,64.3,41,26.9,41,1221.0,103,782.8,166,25.1,28,129.7,54,154.2,54,181.1,88,51.8,9,0.4,224,-0.2,291,20.700000000000003,1025,7.5,1163,0.0
강남구,개포1동,1,30,848,233,29.5,10,75.6,44,28.9,10,2181.2,39,858.0,49,30.5,23,119.7,57,256.29999999999995,41,230.4,64,60.6,18,0.4,230,-0.30000000000000004,181,22.9,687,8.1,832,1.7
강남구,개포1동,1,40,817,89,14.899999999999999,37,82.8,54,29.200000000000003,41,2576.8,63,969.2,67,31.8,18,117.6,66,233.3,49,292.79999999999995,86,58.4,4,0.2,280,-0.4,335,19.0,709,10.0,787,3.4
강남구,개포1동,1,50,1771,167,11.7,57,127.4,101,44.1,52,3832.2,119,1667.1999999999998,99,47.3,48,135.2,187,255.9,150,256.5,228,62.099999999999994,44,-0.1,1139,-1.4,1341,23.5,1689,10.3,1749,5.1
강남구,개포1동,1,60,787,136,5.4,37,88.0,106,33.0,66,2484.7,149,1070.7,118,33.2,48,104.3,200,106.5,177,108.1,266,38.199999999999996,34,-0.6,647,-1.7999999999999998,726,17.3,771,11.7,776,1.7
강남구,개포1동,2,20,1142,211,22.9,48,66.4,39,27.5,39,1362.8000000000002,69,665.5,90,26.0,30,85.5,57,133.2,48,215.5,93,46.7,30,0.30000000000000004,255,-0.2,219,25.6,1113,4.2,1109,3.4
강남구,개포1동,2,30,858,193,15.8,39,59.1,61,25.7,46,1362.6,72,714.8,79,23.0,9,76.0,48,185.8,30,335.9,61,53.7,5,0.1,227,-0.30000000000000004,120,22.200000000000003,765,9.6,833,1.7
강남구,개포1동,2,40,1100,110,8.899999999999999,39,57.099999999999994,74,23.3,58,1325.7,97,645.3,94,18.200000000000003,52,77.6,55,166.0,55,310.6,87,42.599999999999994,16,0.0,435,-0.5,257,19.9,997,7.8,1077,3.4
강남구,개포1동,2,50,1998,197,6.800000000000001,82,87.4,167,34.0,98,2222.8,220,1020.1,240,27.0,64,95.3,122,176.0,84,263.6,380,42.9,32,-0.4,1242,-1.5,1328,20.3,1925,15.9,1926,5.1
강남구,개포1동,2,60,919,197,3.5,55,62.4,139,24.700000000000003,90,1508.8999999999999,244,750.5,229,19.4,56,89.0,318,72.8,216,118.1,406,26.2,43,-0.6,789,-1.7999999999999998,857,12.9,916,0.0,910,3.4
